trace_id,timestamp,component,operation,duration_ms,metadata
61e0d9b0-027c-4308-b20a-a1cb0bdd7609,2026-01-19T09:47:08.226977,orthanc-viewer,send_to_ai (total),42.26,"{""study_id"": ""e785dcef-6a9785a0-289afe7d-f686879e-18706f29"", ""target"": ""orthanc-router-medgemma"", ""status_code"": 200}"
61e0d9b0-027c-4308-b20a-a1cb0bdd7609,2026-01-19T09:52:09.034045,orthanc-viewer,wait_for_ai_results (TIMEOUT),300805.75,"{""polls"": 150, ""timeout"": 300}"
61e0d9b0-027c-4308-b20a-a1cb0bdd7609,2026-01-19T09:52:09.034703,end-to-end,complete_pipeline,300850.4,"{""study_id"": ""e785dcef-6a9785a0-289afe7d-f686879e-18706f29"", ""target"": ""orthanc-router-medgemma"", ""success"": false}"
61e0d9b0-027c-4308-b20a-a1cb0bdd7609,2026-01-19T09:52:09.340861,orthanc-router-medgemma,model_backend_request,18980.95,{}
61e0d9b0-027c-4308-b20a-a1cb0bdd7609,2026-01-19T09:52:09.487864,ml-medgemma,retrieve_dicom,1355.39,{}
61e0d9b0-027c-4308-b20a-a1cb0bdd7609,2026-01-19T09:52:09.488206,ml-medgemma,extract_slices,522.6,{}
61e0d9b0-027c-4308-b20a-a1cb0bdd7609,2026-01-19T09:52:09.488364,ml-medgemma,build_prompt,0.1,{}
61e0d9b0-027c-4308-b20a-a1cb0bdd7609,2026-01-19T09:52:09.488498,ml-medgemma,tokenize_input,1742.72,{}
61e0d9b0-027c-4308-b20a-a1cb0bdd7609,2026-01-19T09:52:09.488655,ml-medgemma,model_generate,15344.54,{}
61e0d9b0-027c-4308-b20a-a1cb0bdd7609,2026-01-19T09:52:09.488771,ml-medgemma,decode_output,0.56,{}
61e0d9b0-027c-4308-b20a-a1cb0bdd7609,2026-01-19T09:52:09.488886,ml-medgemma,model_inference,17088.28,{}
61e0d9b0-027c-4308-b20a-a1cb0bdd7609,2026-01-19T09:52:09.489031,ml-medgemma,parse_response,0.75,{}
